#NAME,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
K00001,329,344,344,351,0,383,348,0,361,0,0,0,346,0,380,350,347,354,0,0,347,314,0,369,329,0,363,352,296,368
K00002,90,0,0,128,0,113,114,118,110,111,0,119,0,0,0,0,0,0,0,109,0,114,124,0,110,93,133,117,111,0
K00003,1398,0,1722,0,0,0,1537,1556,0,0,0,0,1530,1534,1496,412,410,392,0,0,435,0,413,382,401,410,0,393,385,384
K00004,0,0,3325,3329,3418,0,3344,3319,3264,3367,3453,0,3309,3284,0,0,0,0,3379,3319,3361,0,3393,0,0,3412,3465,3308,0,0
K00005,0,946,0,925,932,917,942,958,914,0,965,969,951,968,868,0,0,0,951,971,0,980,947,940,969,989,893,943,922,0
K00006,0,111,98,128,0,93,98,0,0,108,91,141,106,0,0,33,39,26,49,0,43,0,42,49,42,0,43,0,0,0
K00007,600,0,0,569,0,583,547,0,558,595,0,581,559,587,639,0,560,596,584,601,629,606,0,0,602,0,607,0,0,620
K00008,0,0,0,126,126,129,136,151,113,0,117,142,129,0,136,34,0,0,50,0,0,46,0,31,40,0,58,39,60,38
K00009,0,0,265,0,0,175,0,0,231,0,242,0,212,0,239,70,68,69,67,58,64,0,50,61,66,60,58,70,0,62
K00010,0,528,464,491,526,0,0,0,0,533,519,461,495,0,525,1657,1575,1525,1610,0,0,1507,1601,1582,0,1604,1601,0,1591,1528
K00011,0,0,172,0,157,148,0,196,0,0,0,143,192,145,194,82,79,82,0,0,76,79,83,0,68,79,65,89,81,65
K00012,106,106,136,126,99,107,106,134,120,0,152,0,125,119,132,191,0,277,248,246,294,237,242,242,261,235,220,0,248,209
K00013,403,0,460,417,353,450,0,403,0,0,0,414,442,0,371,0,104,118,0,117,0,109,118,0,119,0,123,105,101,121
K00014,1356,1498,1452,1469,1277,0,1512,1455,1605,0,1444,1473,1370,0,1544,0,377,0,0,401,377,384,0,0,412,417,398,389,405,0
K00015,0,0,180,0,167,0,0,160,0,168,149,0,141,143,173,145,149,0,175,167,168,166,180,147,151,143,0,182,0,166
K00016,289,0,327,315,279,280,0,0,0,0,299,0,280,299,310,300,297,0,280,280,0,0,292,340,282,0,280,286,0,299
K00017,94,99,133,126,120,102,118,109,124,124,129,117,0,0,0,0,0,0,260,227,300,0,0,243,0,253,0,295,260,234
