sample_id,species,strain,abundance,ani,coverage
S01,s__Escherichia_coli,EC_001,221,96.87,0.89
S01,s__Escherichia_coli,EC_002,41,99.52,0.667
S01,s__Escherichia_coli,EC_003,128,99.31,0.717
S01,s__Escherichia_coli,EC_004,182,99.56,0.56
S01,s__Escherichia_coli,EC_005,151,98.77,0.874
S01,s__Escherichia_coli,EC_006,140,99.16,0.964
S01,s__Escherichia_coli,EC_007,195,98.11,0.816
S01,s__Bacteroides_fragilis,BF_001,359,95.27,0.762
S01,s__Bacteroides_fragilis,BF_002,197,96.56,0.782
S01,s__Bacteroides_fragilis,BF_003,158,96.6,0.849
S01,s__Bacteroides_fragilis,BF_004,134,95.75,0.837
S01,s__Bacteroides_thetaiotaomicron,BT_001,512,99.89,0.986
S01,s__Bacteroides_thetaiotaomicron,BT_002,258,98.69,0.788
S01,s__Bacteroides_thetaiotaomicron,BT_003,57,95.44,0.716
S01,s__Faecalibacterium_prausnitzii,FP_001,335,98.85,0.574
S01,s__Faecalibacterium_prausnitzii,FP_002,244,96.65,0.738
S01,s__Faecalibacterium_prausnitzii,FP_003,117,98.65,0.774
S01,s__Faecalibacterium_prausnitzii,FP_004,130,96.29,0.699
S01,s__Faecalibacterium_prausnitzii,FP_005,249,97.13,0.849
S01,s__Akkermansia_muciniphila,AM_001,528,98.73,0.74
S01,s__Akkermansia_muciniphila,AM_002,291,95.97,0.698
S01,s__Akkermansia_muciniphila,AM_003,170,97.8,0.781
S02,s__Escherichia_coli,EC_001,352,99.89,0.762
S02,s__Escherichia_coli,EC_002,100,96.19,0.633
S02,s__Escherichia_coli,EC_003,18,97.11,0.842
S02,s__Escherichia_coli,EC_004,129,97.82,0.556
S02,s__Escherichia_coli,EC_005,25,97.03,0.683
S02,s__Escherichia_coli,EC_006,220,95.93,0.672
S02,s__Escherichia_coli,EC_007,117,98.21,0.885
S02,s__Bacteroides_fragilis,BF_001,418,95.83,0.675
S02,s__Bacteroides_fragilis,BF_002,234,99.03,0.901
S02,s__Bacteroides_fragilis,BF_003,159,98.05,0.72
S02,s__Bacteroides_fragilis,BF_004,256,99.53,0.617
S02,s__Bacteroides_thetaiotaomicron,BT_001,522,98.36,0.578
S02,s__Bacteroides_thetaiotaomicron,BT_002,259,98.57,0.543
S02,s__Bacteroides_thetaiotaomicron,BT_003,223,98.62,0.622
S02,s__Faecalibacterium_prausnitzii,FP_001,296,98.04,0.574
S02,s__Faecalibacterium_prausnitzii,FP_002,108,99.08,0.644
S02,s__Faecalibacterium_prausnitzii,FP_003,226,96.68,0.902
S02,s__Faecalibacterium_prausnitzii,FP_004,225,96.5,0.736
S02,s__Faecalibacterium_prausnitzii,FP_005,173,96.63,0.87
S02,s__Akkermansia_muciniphila,AM_001,468,96.04,0.773
S02,s__Akkermansia_muciniphila,AM_002,313,98.68,0.774
S02,s__Akkermansia_muciniphila,AM_003,198,98.05,0.996
S03,s__Escherichia_coli,EC_001,206,98.41,0.834
S03,s__Escherichia_coli,EC_002,169,96.85,0.953
S03,s__Escherichia_coli,EC_003,88,97.58,0.628
S03,s__Escherichia_coli,EC_004,70,95.29,0.6
S03,s__Escherichia_coli,EC_005,132,98.41,0.636
S03,s__Escherichia_coli,EC_006,145,97.28,0.973
S03,s__Escherichia_coli,EC_007,119,95.33,0.83
S03,s__Bacteroides_fragilis,BF_001,357,98.25,0.956
S03,s__Bacteroides_fragilis,BF_002,131,96.77,0.554
S03,s__Bacteroides_fragilis,BF_003,121,96.43,0.942
S03,s__Bacteroides_fragilis,BF_004,156,96.89,0.99
S03,s__Bacteroides_thetaiotaomicron,BT_001,483,97.49,0.855
S03,s__Bacteroides_thetaiotaomicron,BT_002,261,99.43,0.742
S03,s__Bacteroides_thetaiotaomicron,BT_003,276,97.93,0.544
S03,s__Faecalibacterium_prausnitzii,FP_001,369,95.97,0.983
S03,s__Faecalibacterium_prausnitzii,FP_002,128,97.75,0.856
S03,s__Faecalibacterium_prausnitzii,FP_003,177,95.19,0.961
S03,s__Faecalibacterium_prausnitzii,FP_004,163,96.49,0.745
S03,s__Faecalibacterium_prausnitzii,FP_005,159,98.65,0.509
S03,s__Akkermansia_muciniphila,AM_001,512,98.35,0.678
S03,s__Akkermansia_muciniphila,AM_002,309,96.48,0.998
S03,s__Akkermansia_muciniphila,AM_003,293,99.8,0.638
S04,s__Escherichia_coli,EC_001,379,95.3,0.629
S04,s__Escherichia_coli,EC_002,47,96.9,1.0
S04,s__Escherichia_coli,EC_003,107,99.85,0.972
S04,s__Escherichia_coli,EC_004,155,99.65,0.613
S04,s__Escherichia_coli,EC_005,106,96.67,0.696
S04,s__Escherichia_coli,EC_006,90,95.67,0.865
S04,s__Escherichia_coli,EC_007,137,97.55,0.839
S04,s__Bacteroides_fragilis,BF_001,360,99.28,0.843
S04,s__Bacteroides_fragilis,BF_002,223,97.04,0.786
S04,s__Bacteroides_fragilis,BF_003,153,97.09,0.656
S04,s__Bacteroides_fragilis,BF_004,149,97.97,0.725
S04,s__Bacteroides_thetaiotaomicron,BT_001,520,95.65,0.826
S04,s__Bacteroides_thetaiotaomicron,BT_002,198,97.85,0.842
S04,s__Bacteroides_thetaiotaomicron,BT_003,220,95.99,0.569
S04,s__Faecalibacterium_prausnitzii,FP_001,317,98.37,0.949
S04,s__Faecalibacterium_prausnitzii,FP_002,250,99.46,0.715
S04,s__Faecalibacterium_prausnitzii,FP_003,169,99.45,0.885
S04,s__Faecalibacterium_prausnitzii,FP_004,165,98.22,0.782
S04,s__Faecalibacterium_prausnitzii,FP_005,130,95.77,0.534
S04,s__Akkermansia_muciniphila,AM_001,533,97.61,0.86
S04,s__Akkermansia_muciniphila,AM_002,309,95.9,0.92
S04,s__Akkermansia_muciniphila,AM_003,325,95.71,0.515
S05,s__Escherichia_coli,EC_001,221,96.56,0.986
S05,s__Escherichia_coli,EC_002,175,99.71,0.652
S05,s__Escherichia_coli,EC_003,145,98.65,0.911
S05,s__Escherichia_coli,EC_004,94,98.12,0.869
S05,s__Escherichia_coli,EC_005,109,95.74,0.594
S05,s__Escherichia_coli,EC_006,98,95.64,0.513
S05,s__Escherichia_coli,EC_007,83,99.83,0.808
S05,s__Bacteroides_fragilis,BF_001,425,97.97,0.806
S05,s__Bacteroides_fragilis,BF_002,182,97.92,0.615
S05,s__Bacteroides_fragilis,BF_003,182,95.13,0.54
S05,s__Bacteroides_fragilis,BF_004,168,98.82,0.567
