,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
ASV_001,1955,1989,1897,0,0,0,1951,2135,2140,0,0,1678,1985,1809,1936,408,396,373,398,420,390,384,372,0,0,0,364,384,0,353
ASV_002,891,967,929,0,930,922,0,0,901,945,858,0,892,927,899,0,0,953,901,0,0,846,873,872,931,0,951,0,0,0
ASV_003,883,931,0,941,0,0,889,0,872,909,914,879,919,882,0,941,917,915,933,903,0,929,0,901,853,880,909,941,899,0
ASV_004,2591,0,2700,2599,2485,2704,2564,2638,2771,2790,2700,2712,2568,0,2790,0,714,729,683,717,733,706,0,664,685,682,687,655,643,674
ASV_005,105,0,86,89,97,102,113,0,99,107,77,98,90,0,100,0,0,96,98,0,92,92,83,98,83,119,77,104,114,85
ASV_006,379,415,390,0,392,0,426,0,397,0,445,386,385,0,0,387,407,418,422,395,392,429,360,402,0,406,368,365,408,392
ASV_007,0,1256,1276,1384,0,1330,1325,1324,0,0,1323,1318,1307,0,1325,1362,1333,1396,1372,1339,1353,1299,1321,1364,0,0,0,1345,1421,1352
ASV_008,321,0,0,341,0,314,329,317,309,331,303,331,322,309,0,0,0,349,0,338,338,0,0,336,0,331,330,350,309,0
ASV_009,368,0,372,368,353,0,356,356,0,400,374,397,0,0,383,0,382,347,0,414,0,0,0,387,375,370,394,361,403,381
ASV_010,0,474,476,472,479,0,484,480,0,444,516,487,0,479,466,490,522,477,441,0,471,465,439,487,0,469,511,515,461,531
ASV_011,65,0,0,68,0,72,71,66,63,66,63,70,62,0,0,0,65,0,0,0,0,72,72,62,57,69,63,0,0,0
ASV_012,1887,0,1869,1868,0,1863,1987,0,1856,1960,0,0,1958,1935,1865,1936,1933,1979,1932,0,1922,1922,0,1949,1974,1890,1968,1983,0,1995
ASV_013,1244,1167,1219,1160,1202,1198,1182,0,0,0,0,1261,1243,0,1181,1193,0,1163,1263,0,0,1156,0,1262,1283,1194,1244,1214,0,1287
ASV_014,3619,0,3542,3562,0,3524,3572,3474,3479,3467,3629,0,3523,0,3565,3491,3555,3463,3471,3506,0,3459,0,3402,3599,3541,3563,3512,0,0
