#clade_name	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	45.2	48.1	42.3	50.2	44.8	47.5	43.1	49.2	46.0	45.5	48.3	41.9	50.1	44.2	47.8	43.5	48.9	45.0	46.2	44.1
k__Bacteria|p__Firmicutes|c__Bacilli	12.5	13.2	11.8	14.1	12.0	13.5	11.5	13.8	12.8	12.3	13.4	11.2	14.0	12.1	13.2	11.8	13.6	12.5	12.9	12.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	8.3	8.9	7.8	9.5	8.0	9.1	7.5	9.2	8.5	8.1	9.0	7.4	9.4	7.9	8.8	7.7	9.1	8.3	8.6	7.9
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	6.2	6.8	5.8	7.2	6.0	6.9	5.6	7.0	6.4	6.1	6.7	5.5	7.1	5.9	6.6	5.7	6.9	6.2	6.5	5.9
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	5.8	6.3	5.4	6.8	5.6	6.5	5.2	6.5	6.0	5.7	6.3	5.1	6.7	5.5	6.2	5.3	6.5	5.8	6.1	5.5
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	3.2	3.5	3.0	3.8	3.1	3.6	2.9	3.7	3.4	3.2	3.5	2.8	3.7	3.0	3.4	2.9	3.6	3.2	3.4	3.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	1.8	2.0	1.6	2.2	1.7	2.1	1.5	2.1	1.9	1.8	2.0	1.4	2.2	1.6	2.0	1.5	2.1	1.8	1.9	1.7
k__Bacteria|p__Firmicutes|c__Clostridia	15.3	16.1	14.5	17.0	15.0	16.5	14.2	16.8	15.6	15.2	16.2	14.0	16.9	15.0	16.0	14.3	16.5	15.4	15.6	14.8
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	12.1	12.8	11.5	13.5	11.9	13.1	11.2	13.3	12.4	12.0	12.9	11.0	13.4	11.8	12.7	11.3	13.0	12.2	12.3	11.6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	8.5	9.0	8.1	9.5	8.3	9.2	7.9	9.3	8.7	8.4	9.1	7.8	9.4	8.2	8.9	8.0	9.2	8.6	8.7	8.2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	3.5	3.8	3.2	4.0	3.4	3.9	3.1	3.9	3.6	3.4	3.7	3.0	4.0	3.3	3.6	3.2	3.8	3.5	3.5	3.3
