sample_id,species,strain,abundance
S01,s__Escherichia_coli,EC_001,231
S01,s__Escherichia_coli,EC_002,52
S01,s__Escherichia_coli,EC_003,131
S01,s__Escherichia_coli,EC_004,63
S01,s__Escherichia_coli,EC_005,110
S01,s__Escherichia_coli,EC_006,64
S01,s__Escherichia_coli,EC_007,138
S01,s__Bacteroides_fragilis,BF_001,413
S01,s__Bacteroides_fragilis,BF_002,208
S01,s__Bacteroides_fragilis,BF_003,117
S01,s__Bacteroides_fragilis,BF_004,207
S01,s__Bacteroides_thetaiotaomicron,BT_001,436
S01,s__Bacteroides_thetaiotaomicron,BT_002,237
S01,s__Bacteroides_thetaiotaomicron,BT_003,277
S01,s__Faecalibacterium_prausnitzii,FP_001,314
S01,s__Faecalibacterium_prausnitzii,FP_002,298
S01,s__Faecalibacterium_prausnitzii,FP_003,86
S01,s__Faecalibacterium_prausnitzii,FP_004,169
S01,s__Faecalibacterium_prausnitzii,FP_005,314
S01,s__Akkermansia_muciniphila,AM_001,462
S01,s__Akkermansia_muciniphila,AM_002,214
S01,s__Akkermansia_muciniphila,AM_003,342
S02,s__Escherichia_coli,EC_001,384
S02,s__Escherichia_coli,EC_002,102
S02,s__Escherichia_coli,EC_003,141
S02,s__Escherichia_coli,EC_004,67
S02,s__Escherichia_coli,EC_005,85
S02,s__Escherichia_coli,EC_006,131
S02,s__Escherichia_coli,EC_007,101
S02,s__Bacteroides_fragilis,BF_001,325
S02,s__Bacteroides_fragilis,BF_002,202
S02,s__Bacteroides_fragilis,BF_003,178
S02,s__Bacteroides_fragilis,BF_004,217
S02,s__Bacteroides_thetaiotaomicron,BT_001,483
S02,s__Bacteroides_thetaiotaomicron,BT_002,261
S02,s__Bacteroides_thetaiotaomicron,BT_003,186
S02,s__Faecalibacterium_prausnitzii,FP_001,466
S02,s__Faecalibacterium_prausnitzii,FP_002,109
S02,s__Faecalibacterium_prausnitzii,FP_003,175
S02,s__Faecalibacterium_prausnitzii,FP_004,113
S02,s__Faecalibacterium_prausnitzii,FP_005,149
S02,s__Akkermansia_muciniphila,AM_001,479
S02,s__Akkermansia_muciniphila,AM_002,211
S02,s__Akkermansia_muciniphila,AM_003,205
S03,s__Escherichia_coli,EC_001,207
S03,s__Escherichia_coli,EC_002,121
S03,s__Escherichia_coli,EC_003,39
S03,s__Escherichia_coli,EC_004,149
S03,s__Escherichia_coli,EC_005,159
S03,s__Escherichia_coli,EC_006,52
S03,s__Escherichia_coli,EC_007,1
S03,s__Bacteroides_fragilis,BF_001,415
S03,s__Bacteroides_fragilis,BF_002,217
S03,s__Bacteroides_fragilis,BF_003,255
S03,s__Bacteroides_fragilis,BF_004,216
S03,s__Bacteroides_thetaiotaomicron,BT_001,547
S03,s__Bacteroides_thetaiotaomicron,BT_002,250
S03,s__Bacteroides_thetaiotaomicron,BT_003,296
S03,s__Faecalibacterium_prausnitzii,FP_001,413
S03,s__Faecalibacterium_prausnitzii,FP_002,118
S03,s__Faecalibacterium_prausnitzii,FP_003,158
